adopter_id,pet_id,home_type,has_yard,has_children,children_age_group,has_other_pets,other_pets_type,dog_experience,available_time,activity_level,preferred_size,preferred_age,pet_age,pet_energy_level,pet_temperament,pet_sociability,children_compatibility,dogs_compatibility,cats_compatibility,exercise_need,apartment_adaptability,compatibility
1,15,Apartment,False,False,N/A,False,N/A,Beginner,High,High,Medium,Idoso,1.2,High,Territorial,Low,True,True,True,High,High,1
1,61,Apartment,False,False,N/A,False,N/A,Beginner,High,High,Medium,Idoso,0.9,Low,Calm,Low,True,True,True,Low,High,1
1,114,Apartment,False,False,N/A,False,N/A,Beginner,High,High,Medium,Idoso,11.4,Medium,Independent,High,True,False,False,Low,Medium,0
1,66,Apartment,False,False,N/A,False,N/A,Beginner,High,High,Medium,Idoso,1.1,Medium,Calm,Medium,False,True,False,Low,High,1
1,73,Apartment,False,False,N/A,False,N/A,Beginner,High,High,Medium,Idoso,0.4,High,Independent,Medium,True,True,False,Low,High,1
2,117,Apartment,True,True,6-12,False,N/A,Intermediate,Medium,Medium,Medium,Filhote,6.0,High,Playful,High,False,False,True,Medium,Low,0
2,158,Apartment,True,True,6-12,False,N/A,Intermediate,Medium,Medium,Medium,Filhote,9.8,Low,Affectionate,Low,True,True,False,Low,Low,0
2,65,Apartment,True,True,6-12,False,N/A,Intermediate,Medium,Medium,Medium,Filhote,1.0,Medium,Calm,Medium,True,True,False,Medium,High,1
2,108,Apartment,True,True,6-12,False,N/A,Intermediate,Medium,Medium,Medium,Filhote,10.0,High,Affectionate,High,True,False,True,Low,High,1
2,67,Apartment,True,True,6-12,False,N/A,Intermediate,Medium,Medium,Medium,Filhote,6.5,Medium,Calm,High,False,False,False,Medium,Medium,1
3,41,Apartment,False,False,N/A,False,N/A,Beginner,Medium,High,Medium,Filhote,3.8,Low,Affectionate,Medium,True,False,True,Low,Low,0
3,218,Apartment,False,False,N/A,False,N/A,Beginner,Medium,High,Medium,Filhote,10.1,Medium,Calm,High,True,True,False,Medium,Low,0
3,58,Apartment,False,False,N/A,False,N/A,Beginner,Medium,High,Medium,Filhote,8.2,Medium,Independent,High,True,True,False,Low,Low,0
3,40,Apartment,False,False,N/A,False,N/A,Beginner,Medium,High,Medium,Filhote,10.0,Low,Calm,High,True,False,False,Low,Medium,1
