id,name,species,age,size,type,breed,gender,location,energy_level,temperament,sociability,children_compatibility,dogs_compatibility,cats_compatibility,exercise_need,special_needs,vaccinated,neutered,trained,apartment_adaptability,description
1,Pet1,Dog,4.1,Small,Canine,Vira-lata,Male,"São Paulo, SP",High,Territorial,Low,True,True,True,High,False,True,True,False,High,"Dog de porte small, temperamento territorial."
2,Pet2,Cat,8.4,Small,Feline,SRD,Male,"Belo Horizonte, MG",Low,Independent,Medium,True,False,True,Medium,True,True,False,False,Low,"Cat de porte small, temperamento affectionate."
3,Pet3,Dog,7.9,Medium,Canine,Border Collie,Female,"Rio de Janeiro, RJ",Low,Calm,Low,False,False,False,Low,False,False,True,False,Medium,"Dog de porte medium, temperamento playful."
4,Pet4,Cat,9.5,Small,Feline,SRD,Male,"Rio de Janeiro, RJ",Medium,Playful,Medium,True,False,False,Low,False,True,False,False,Low,"Cat de porte small, temperamento calm."
5,Pet5,Cat,1.2,Small,Feline,Angorá,Female,"Rio de Janeiro, RJ",Medium,Affectionate,Medium,False,False,True,Medium,False,True,True,False,Medium,"Cat de porte small, temperamento territorial."
6,Pet6,Cat,14.0,Small,Feline,Siamês,Female,"São Paulo, SP",Medium,Calm,Low,True,True,False,Low,False,True,True,False,Medium,"Cat de porte small, temperamento territorial."
7,Pet7,Dog,1.9,Large,Canine,Shih Tzu,Female,"Curitiba, PR",High,Calm,Medium,True,True,False,High,False,True,True,True,Low,"Dog de porte large, temperamento independent."
8,Pet8,Dog,10.7,Small,Canine,Shih Tzu,Male,"Curitiba, PR",Medium,Affectionate,Low,True,True,False,Medium,False,True,True,False,Low,"Dog de porte small, temperamento calm."
9,Pet9,Cat,2.1,Small,Feline,Maine Coon,Male,"Curitiba, PR",Low,Territorial,High,True,True,True,Low,False,True,True,False,High,"Cat de porte small, temperamento independent."
10,Pet10,Cat,2.0,Small,Feline,Siamês,Male,"Curitiba, PR",High,Calm,High,True,True,True,Medium,False,True,True,True,Medium,"Cat de porte small, temperamento calm."
11,Pet11,Dog,7.0,Medium,Canine,Shih Tzu,Male,"Belo Horizonte, MG",High,Playful,Medium,False,True,True,High,False,True,True,False,High,"Dog de porte medium, temperamento calm."
12,Pet12,Dog,4.9,Medium,Canine,Labrador,Male,"Rio de Janeiro, RJ",High,Playful,High,True,True,True,High,False,False,True,False,High,"Dog de porte medium, temperamento calm."
13,Pet13,Dog,11.8,Large,Canine,Labrador,Male,"Rio de Janeiro, RJ",High,Affectionate,Medium,True,False,False,High,False,True,True,False,Medium,"Dog de porte large, temperamento independent."
14,Pet14,Cat,2.4,Small,Feline,Persa,Male,"São Paulo, SP",High,Territorial,High,True,False,True,Medium,False,True,False,True,High,"Cat de porte small, temperamento calm."
15,Pet15,Dog,1.2,Small,Canine,Vira-lata,Female,"São Paulo, SP",High,Territorial,Low,True,True,True,High,False,True,True,True,High,"Dog de porte small, temperamento independent."
16,Pet16,Dog,2.1,Medium,Canine,Border Collie,Female,"Belo Horizonte, MG",Medium,Independent,Low,True,False,False,Medium,True,True,True,True,Medium,"Dog de porte medium, temperamento calm."
17,Pet17,Dog,2.5,Medium,Canine,Shih Tzu,Female,"São Paulo, SP",Medium,Territorial,Medium,False,True,False,Medium,False,False,False,True,Medium,"Dog de porte medium, temperamento territorial."
18,Pet18,Dog,3.1,Large,Canine,Border Collie,Female,"Belo Horizonte, MG",Medium,Independent,Low,True,True,True,Medium,True,True,True,True,High,"Dog de porte large, temperamento affectionate."
19,Pet19,Cat,1.8,Small,Feline,Siamês,Male,"Curitiba, PR",High,Territorial,High,True,True,True,Low,False,True,False,False,Low,"Cat de porte small, temperamento playful."
20,Pet20,Dog,12.4,Medium,Canine,Bulldog,Male,"Rio de Janeiro, RJ",High,Playful,Low,False,True,False,High,False,False,False,False,Low,"Dog de porte medium, temperamento independent."
21,Pet21,Dog,5.5,Large,Canine,Labrador,Female,"Rio de Janeiro, RJ",Low,Playful,Medium,True,False,False,Low,False,True,True,True,Low,"Dog de porte large, temperamento independent."
22,Pet22,Cat,9.6,Small,Feline,Angorá,Female,"São Paulo, SP",High,Calm,Medium,True,False,True,Medium,False,True,False,True,High,"Cat de porte small, temperamento territorial."
